Movie Id,Gender,All Ages,<18,18-29,30-44,45+
tt1663662,All,6.9,7.2,7.1,6.9,6.6
tt1663662,Males,6.9,7.2,7.1,6.9,6.6
tt1663662,Females,7.0,7.2,7.3,7.0,6.8
tt1399103,All,6.2,5.9,6.3,6.2,6.0
tt1399103,Males,6.2,6.0,6.3,6.2,5.9
tt1399103,Females,6.4,5.7,6.5,6.4,6.4
tt0367882,All,6.1,6.0,6.2,6.1,6.2
tt0367882,Males,6.1,5.9,6.1,6.1,6.2
tt0367882,Females,6.3,5.9,6.3,6.2,6.5
tt1979388,All,6.7,6.2,6.8,6.7,6.7
tt1979388,Males,6.6,6.2,6.7,6.6,6.7
tt1979388,Females,6.9,6.2,7.0,6.9,7.0
tt1217209,All,7.1,6.8,7.2,7.1,7.2
tt1217209,Males,7.0,6.7,7.1,7.0,7.1
tt1217209,Females,7.5,7.4,7.5,7.4,7.6
tt2660888,All,7.0,7.3,7.2,7.0,7.1
tt2660888,Males,7.0,7.0,7.1,6.9,7.0
tt2660888,Females,7.4,7.7,7.5,7.3,7.5
tt0910970,All,8.4,8.6,8.4,8.4,8.2
tt0910970,Males,8.4,8.7,8.5,8.4,8.2
tt0910970,Females,8.4,8.2,8.3,8.5,8.3
tt0293564,All,6.2,6.6,6.6,6.1,5.8
tt0293564,Males,6.2,6.6,6.6,6.1,5.8
tt0293564,Females,6.4,6.3,6.8,6.2,6.1
tt1190080,All,5.8,6.1,5.9,5.7,5.8
tt1190080,Males,5.8,6.1,5.8,5.7,5.8
tt1190080,Females,5.9,5.8,5.9,5.8,6.1
tt1067106,All,6.8,6.9,6.8,6.7,6.7
tt1067106,Males,6.7,6.9,6.8,6.7,6.7
tt1067106,Females,6.9,6.7,7.0,6.9,7.0
tt1617661,All,5.3,4.6,5.3,5.3,5.6
tt1617661,Males,5.3,4.2,5.2,5.2,5.5
tt1617661,Females,5.5,4.7,5.6,5.4,5.9
tt0918940,All,6.2,5.8,6.3,6.2,6.3
tt0918940,Males,6.1,5.8,6.2,6.1,6.2
tt0918940,Females,6.6,5.9,6.6,6.5,6.9
tt0363771,All,6.9,7.1,7.0,6.7,7.0
tt0363771,Males,6.7,7.1,6.9,6.6,6.9
tt0363771,Females,7.3,7.1,7.4,7.2,7.5
tt3385516,All,6.9,6.6,6.9,6.9,6.9
tt3385516,Males,6.8,6.5,6.8,6.8,6.8
tt3385516,Females,7.2,6.7,7.3,7.2,7.2
tt0468569,All,9.0,9.2,9.2,9.0,8.4
tt0468569,Males,9.0,9.3,9.3,9.1,8.5
tt0468569,Females,8.7,8.4,8.9,8.7,8.2
tt1049413,All,8.2,8.3,8.3,8.2,8.1
tt1049413,Males,8.2,8.4,8.3,8.2,8.1
tt1049413,Females,8.4,8.2,8.4,8.4,8.3
tt0892782,All,6.4,6.3,6.3,6.5,6.7
tt0892782,Males,6.5,6.2,6.3,6.5,6.6
tt0892782,Females,6.5,6.4,6.3,6.5,6.7
tt0371746,All,7.9,7.9,7.9,7.8,7.8
tt0371746,Males,7.8,7.9,7.9,7.8,7.8
tt0371746,Females,7.9,7.9,7.9,7.8,7.9
tt0970179,All,7.5,7.7,7.7,7.5,7.5
tt0970179,Males,7.5,7.7,7.7,7.4,7.4
tt0970179,Females,7.6,7.5,7.7,7.5,7.6
tt0120891,All,4.9,4.1,5.4,4.9,4.7
tt0120891,Males,4.9,3.2,5.4,4.9,4.7
tt0120891,Females,5.1,7.0,5.7,5.0,5.0
tt0859163,All,5.2,5.0,5.3,5.1,5.4
tt0859163,Males,5.2,5.0,5.3,5.1,5.4
tt0859163,Females,5.4,5.0,5.6,5.3,5.8
tt1386697,All,5.9,5.2,5.9,5.9,6.0
tt1386697,Males,5.8,5.1,5.8,5.8,6.0
tt1386697,Females,6.3,5.2,6.4,6.2,6.4
tt0413099,All,5.4,5.1,5.4,5.4,5.6
tt0413099,Males,5.4,4.9,5.4,5.3,5.5
tt0413099,Females,5.6,5.0,5.7,5.6,5.9
tt1631867,All,7.9,7.9,8.0,7.9,7.8
tt1631867,Males,7.9,8.0,8.0,7.9,7.8
tt1631867,Females,7.7,7.4,7.8,7.7,7.8
tt0114898,All,6.2,5.9,6.3,6.3,6.0
tt0114898,Males,6.2,5.7,6.3,6.3,6.0
tt0114898,Females,6.1,7.0,6.3,6.2,5.8
tt1046173,All,5.8,5.6,6.0,5.7,5.7
tt1046173,Males,5.7,5.6,5.9,5.7,5.7
tt1046173,Females,6.0,6.3,6.4,5.9,6.0
tt2096673,All,8.1,7.9,8.3,8.1,7.9
tt2096673,Males,8.1,7.9,8.3,8.1,7.9
tt2096673,Females,8.2,7.9,8.3,8.2,8.0
tt3040964,All,7.4,7.2,7.4,7.3,7.4
tt3040964,Males,7.3,7.2,7.4,7.3,7.4
tt3040964,Females,7.5,7.0,7.5,7.4,7.7
tt1228705,All,7.0,6.7,7.0,7.0,6.9
tt1228705,Males,6.9,6.7,6.9,6.9,6.9
tt1228705,Females,7.2,6.9,7.3,7.2,7.2
tt1735898,All,6.1,5.7,6.2,6.0,6.3
tt1735898,Males,6.0,5.4,6.1,6.0,6.2
tt1735898,Females,6.3,5.9,6.4,6.2,6.5
tt1587310,All,7.0,6.9,7.1,6.9,7.1
tt1587310,Males,6.8,6.8,6.8,6.7,7.0
tt1587310,Females,7.4,7.2,7.5,7.3,7.6
tt2103281,All,7.6,7.7,7.8,7.5,7.4
tt2103281,Males,7.6,7.7,7.8,7.5,7.4
tt2103281,Females,7.5,7.4,7.6,7.4,7.5
tt1321869,All,4.6,-,4.7,4.4,4.8
tt1321869,Males,4.5,-,4.6,4.3,4.7
tt1321869,Females,4.8,-,5.0,4.5,5.2
tt1335975,All,6.3,6.4,6.3,6.2,6.4
tt1335975,Males,6.2,6.2,6.3,6.2,6.3
tt1335975,Females,6.5,7.3,6.4,6.4,6.8
tt1843866,All,7.7,7.8,7.9,7.6,7.7
tt1843866,Males,7.7,7.8,7.9,7.6,7.6
tt1843866,Females,7.8,8.2,8.0,7.7,7.8
tt0892791,All,6.3,6.4,6.2,6.3,6.5
tt0892791,Males,6.3,6.4,6.1,6.3,6.4
tt0892791,Females,6.5,6.4,6.4,6.5,6.7
tt1964418,All,6.4,6.3,6.5,6.4,6.5
tt1964418,Males,6.4,6.4,6.5,6.4,6.5
tt1964418,Females,6.4,6.2,6.5,6.4,6.5
tt2245084,All,7.8,7.6,8.0,7.7,7.6
tt2245084,Males,7.7,7.6,7.8,7.7,7.6
tt2245084,Females,8.1,7.7,8.3,8.0,7.9
tt1772341,All,7.7,7.5,7.8,7.7,7.5
tt1772341,Males,7.7,7.5,7.8,7.7,7.5
tt1772341,Females,7.7,7.5,7.8,7.7,7.5
tt0338348,All,6.6,6.8,6.7,6.5,6.7
tt0338348,Males,6.5,6.8,6.6,6.4,6.6
tt0338348,Females,6.8,6.6,6.9,6.7,7.0
tt1628841,All,5.2,5.3,5.3,5.2,5.2
tt1628841,Males,5.2,5.0,5.3,5.1,5.2
tt1628841,Females,5.5,7.0,5.7,5.5,5.5
tt0892769,All,8.1,8.0,8.2,8.1,7.9
tt0892769,Males,8.0,8.0,8.1,8.0,7.8
tt0892769,Females,8.4,8.0,8.4,8.4,8.2
tt0181852,All,6.3,5.7,6.4,6.3,6.5
tt0181852,Males,6.3,5.7,6.4,6.3,6.5
tt0181852,Females,6.2,5.1,6.4,6.1,6.4
tt2015381,All,8.0,8.1,8.1,8.0,8.0
tt2015381,Males,8.0,8.0,8.1,8.0,7.9
tt2015381,Females,8.1,8.2,8.1,8.0,8.1
tt0816692,All,8.6,8.8,8.9,8.6,8.0
tt0816692,Males,8.6,8.9,8.9,8.6,8.0
tt0816692,Females,8.4,8.4,8.7,8.3,7.9
tt1375666,All,8.8,9.0,9.0,8.8,8.2
tt1375666,Males,8.8,9.1,9.0,8.8,8.2
tt1375666,Females,8.6,8.7,8.8,8.6,8.1
tt4262980,All,6.8,7.8,7.2,6.7,6.4
tt4262980,Males,6.8,7.7,7.2,6.7,6.4
tt4262980,Females,6.8,9.0,7.0,6.7,6.7
tt0903624,All,7.8,7.9,8.0,7.8,7.6
tt0903624,Males,7.8,7.9,7.9,7.8,7.6
tt0903624,Females,8.1,7.5,8.2,8.0,8.0
tt0232500,All,6.8,7.0,7.0,6.7,6.4
tt0232500,Males,6.7,6.8,7.0,6.7,6.3
tt0232500,Females,7.0,7.6,7.3,6.9,6.9
tt0421715,All,7.8,8.2,8.0,7.8,7.5
tt0421715,Males,7.8,8.3,8.0,7.8,7.5
tt0421715,Females,7.8,7.2,8.0,7.7,7.6
tt1270798,All,7.7,7.8,7.8,7.7,7.6
tt1270798,Males,7.7,7.8,7.8,7.7,7.6
tt1270798,Females,7.9,7.6,8.0,7.8,7.7
tt1951266,All,6.6,6.7,6.8,6.4,6.4
tt1951266,Males,6.4,6.5,6.6,6.3,6.4
tt1951266,Females,7.0,7.0,7.2,6.9,7.0
tt0963966,All,6.1,6.0,6.2,6.1,6.2
tt0963966,Males,6.1,5.8,6.1,6.0,6.2
tt0963966,Females,6.4,7.2,6.4,6.3,6.6
tt0409182,All,5.7,6.0,5.9,5.6,5.6
tt0409182,Males,5.6,5.9,5.8,5.6,5.6
tt0409182,Females,5.9,8.0,6.2,5.7,5.9
tt2567026,All,6.2,6.2,6.3,6.1,6.3
tt2567026,Males,6.0,5.9,6.0,6.0,6.2
tt2567026,Females,6.6,6.6,6.7,6.5,6.7
tt0413267,All,6.1,6.0,6.0,6.0,6.1
tt0413267,Males,6.0,5.8,5.9,6.0,6.1
tt0413267,Females,6.4,6.5,6.4,6.3,6.5
tt0803096,All,6.8,6.4,6.9,6.7,6.6
tt0803096,Males,6.7,6.2,6.9,6.7,6.5
tt0803096,Females,6.9,7.4,6.9,6.9,6.9
tt1340138,All,6.3,5.4,6.3,6.3,6.5
tt1340138,Males,6.3,5.3,6.2,6.3,6.4
tt1340138,Females,6.6,4.9,6.6,6.6,6.7
tt0980970,All,6.3,6.3,6.3,6.3,6.5
tt0980970,Males,6.2,6.1,6.1,6.2,6.4
tt0980970,Females,6.7,7.0,6.7,6.7,7.0
tt0213149,All,6.2,5.5,6.7,6.2,5.8
tt0213149,Males,6.1,5.6,6.5,6.1,5.7
tt0213149,Females,6.8,4.9,7.4,6.7,6.4
tt0418279,All,7.0,7.0,7.1,7.1,6.8
tt0418279,Males,7.0,6.9,7.1,7.1,6.7
tt0418279,Females,7.2,7.7,7.2,7.2,7.1
tt0346491,All,5.6,4.8,6.0,5.5,5.5
tt0346491,Males,5.6,4.9,5.9,5.5,5.5
tt0346491,Females,5.6,5.0,6.2,5.5,5.5
tt0373889,All,7.5,7.8,7.7,7.4,7.3
tt0373889,Males,7.3,7.8,7.5,7.3,7.2
tt0373889,Females,8.0,8.1,8.1,7.9,7.9
tt0330373,All,7.7,7.9,7.9,7.5,7.5
tt0330373,Males,7.5,7.9,7.8,7.4,7.4
tt0330373,Females,8.1,8.2,8.3,8.0,8.0
tt0448157,All,6.4,6.4,6.5,6.4,6.4
tt0448157,Males,6.4,6.4,6.5,6.4,6.4
tt0448157,Females,6.4,6.7,6.5,6.4,6.6
tt0480249,All,7.2,7.3,7.4,7.1,6.9
tt0480249,Males,7.2,7.3,7.4,7.1,6.9
tt0480249,Females,7.2,7.1,7.3,7.1,7.1
tt0367594,All,6.6,6.8,6.7,6.6,6.6
tt0367594,Males,6.5,6.7,6.6,6.5,6.5
tt0367594,Females,7.0,7.0,7.2,6.9,6.8
tt0382932,All,8.0,8.4,8.1,8.0,7.9
tt0382932,Males,8.0,8.4,8.1,8.0,7.9
tt0382932,Females,8.0,8.4,8.1,8.0,7.9
tt0372784,All,8.2,8.1,8.3,8.2,8.0
tt0372784,Males,8.3,8.1,8.3,8.3,8.1
tt0372784,Females,8.0,7.7,8.1,8.0,7.9
tt0479952,All,6.6,6.6,6.6,6.7,6.6
tt0479952,Males,6.6,6.6,6.6,6.7,6.5
tt0479952,Females,6.8,6.3,6.8,6.8,6.8
tt1078912,All,6.0,6.4,6.0,5.9,6.0
tt1078912,Males,5.9,6.4,5.9,5.9,5.9
tt1078912,Females,6.3,6.4,6.3,6.2,6.5
tt0458525,All,6.6,6.1,6.6,6.6,6.7
tt0458525,Males,6.5,6.1,6.5,6.5,6.7
tt0458525,Females,7.0,6.5,7.1,7.0,7.2
tt0242653,All,6.8,6.6,6.9,6.8,6.6
tt0242653,Males,6.8,6.6,6.9,6.8,6.5
tt0242653,Females,6.8,5.8,7.0,6.7,6.8
tt2294629,All,7.4,7.0,7.6,7.4,7.4
tt2294629,Males,7.3,6.9,7.4,7.3,7.3
tt2294629,Females,7.8,7.3,7.9,7.8,7.7
tt0234215,All,7.2,7.2,7.3,7.2,7.0
tt0234215,Males,7.2,7.2,7.3,7.2,7.0
tt0234215,Females,7.1,6.9,7.3,7.0,7.1
tt1981115,All,6.8,6.1,6.9,6.9,6.9
tt1981115,Males,6.8,5.9,6.8,6.8,6.8
tt1981115,Females,7.3,6.4,7.4,7.2,7.4
tt1392190,All,8.1,8.2,8.3,8.1,7.6
tt1392190,Males,8.1,8.2,8.3,8.1,7.6
tt1392190,Females,7.9,7.5,8.1,7.8,7.4
tt0808151,All,6.7,6.7,7.0,6.7,6.5
tt0808151,Males,6.7,6.7,7.0,6.7,6.5
tt0808151,Females,6.8,6.6,7.1,6.7,6.7
tt0800369,All,7.0,6.8,7.0,7.0,7.0
tt0800369,Males,6.9,6.7,6.9,6.9,6.9
tt0800369,Females,7.3,7.2,7.4,7.2,7.4
tt0397892,All,6.8,6.9,6.7,6.9,7.0
tt0397892,Males,6.8,6.8,6.6,6.9,6.9
tt0397892,Females,6.9,7.2,6.7,6.9,7.1
tt0436339,All,5.1,5.3,5.0,5.1,5.3
tt0436339,Males,5.1,5.3,5.0,5.1,5.2
tt0436339,Females,5.3,4.2,5.3,5.3,5.5
tt1646987,All,5.7,5.3,5.9,5.7,5.7
tt1646987,Males,5.7,5.2,5.8,5.7,5.7
tt1646987,Females,6.0,6.5,6.1,5.9,6.0
tt1077368,All,6.2,6.3,6.2,6.1,6.3
tt1077368,Males,6.2,6.0,6.2,6.1,6.2
tt1077368,Females,6.3,6.5,6.4,6.3,6.4
tt2381249,All,7.4,7.7,7.6,7.3,7.4
tt2381249,Males,7.4,7.8,7.6,7.3,7.4
tt2381249,Females,7.4,7.3,7.4,7.3,7.5
tt0780653,All,5.8,5.5,5.8,5.8,6.0
tt0780653,Males,5.8,5.3,5.8,5.8,6.0
tt0780653,Females,5.7,7.0,5.7,5.7,6.0
tt0918940,All,6.2,5.8,6.3,6.2,6.3
tt0918940,Males,6.1,5.8,6.2,6.1,6.2
tt0918940,Females,6.6,5.9,6.6,6.5,6.9
tt0389790,All,6.1,6.1,6.1,6.1,6.1
tt0389790,Males,6.1,6.0,6.0,6.1,6.0
tt0389790,Females,6.2,6.0,6.2,6.2,6.3
tt1302011,All,7.2,7.6,7.3,7.2,7.0
tt1302011,Males,7.2,7.6,7.3,7.2,7.0
tt1302011,Females,7.2,7.1,7.2,7.2,7.1
tt0938283,All,4.0,2.1,3.4,4.3,4.8
tt0938283,Males,4.0,1.9,3.3,4.2,4.7
tt0938283,Females,4.6,1.9,4.0,4.7,5.3
tt0317919,All,6.9,7.0,7.0,6.8,6.8
tt0317919,Males,6.9,7.1,7.0,6.8,6.8
tt0317919,Females,6.8,6.8,6.9,6.7,6.8
tt2334879,All,6.3,6.4,6.7,6.2,6.2
tt2334879,Males,6.3,6.3,6.6,6.2,6.1
tt2334879,Females,6.8,6.1,7.2,6.6,6.7
tt1305591,All,5.4,4.5,5.3,5.4,5.6
tt1305591,Males,5.4,4.1,5.2,5.4,5.5
tt1305591,Females,5.6,6.5,5.5,5.6,5.8
tt0424095,All,6.6,6.6,6.4,6.6,6.7
tt0424095,Males,6.6,6.6,6.4,6.6,6.7
tt0424095,Females,6.6,6.7,6.5,6.6,6.8
tt3332064,All,5.7,5.4,5.7,5.7,5.9
tt3332064,Males,5.6,5.0,5.5,5.6,5.9
tt3332064,Females,6.1,6.2,6.2,6.0,6.1
tt0864835,All,6.8,6.6,6.9,6.7,6.7
tt0864835,Males,6.8,6.6,6.9,6.7,6.7
tt0864835,Females,6.9,6.9,7.1,6.9,6.9
tt0332452,All,7.3,7.1,7.6,7.2,6.9
tt0332452,Males,7.2,7.3,7.6,7.2,6.9
tt0332452,Females,7.2,6.2,7.5,7.1,7.0
tt1277953,All,6.8,6.8,6.9,6.8,6.7
tt1277953,Males,6.8,6.8,6.8,6.8,6.7
tt1277953,Females,7.0,6.4,7.1,7.0,7.0
tt0246460,All,6.1,6.3,6.2,6.0,6.3
tt0246460,Males,6.1,6.3,6.2,6.0,6.3
tt0246460,Females,6.2,6.6,6.4,6.0,6.5
tt1289401,All,6.9,4.3,5.2,5.2,5.1
tt1289401,Males,4.9,4.2,4.8,4.9,5.0
tt1289401,Females,6.4,4.2,6.4,6.4,6.3
tt0120591,All,6.7,6.7,6.8,6.7,6.4
tt0120591,Males,6.7,6.6,6.7,6.7,6.4
tt0120591,Females,7.0,6.4,7.2,7.0,6.9
tt0120912,All,6.2,6.2,6.4,6.1,6.2
tt0120912,Males,6.1,6.2,6.4,6.0,6.1
tt0120912,Females,6.4,6.5,6.7,6.3,6.6
tt0442933,All,6.2,4.8,6.1,6.2,6.4
tt0442933,Males,6.3,5.1,6.2,6.3,6.4
tt0442933,Females,5.8,4.0,5.8,5.8,6.2
tt2267968,All,7.1,7.2,7.2,7.1,6.9
