IATA,Airport,Location,Area,Passenger Role,2010,2011,2012,2013,2014,2015,2016,2017
BHO,Raja Bhoj International Airport,Bhopal,south_asia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHV,Bahawalpur Airport,Bahawalpur,south_asia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHX,Birmingham International Airport,Birmingham,united_kingdom,Medium,0.0,0.0,0.0,0.0,0.0,10187122.0,0.0,0.0
BHY,Beihai Fucheng Airport,Beihai,east_asia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIA,Poretta Airport,Bastia,france,Small,0.0,0.0,0.0,0.0,1162840.0,0.0,0.0,0.0
BIQ,Biarritz Airport,Biarritz,france,Small,0.0,0.0,0.0,0.0,1064402.0,0.0,0.0,0.0
BJA,Soummam Airport,Bejaia,north_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJL,Banjul International Airport,Banjul,west_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJM,Bujumbura International Airport,Bujumbura,east_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJV,Milas-Bodrum Airport,Bodrum,europe_misc,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJX,Del Bajío International Airport,León,north_america,Small,0.0,0.0,0.0,0.0,1222100.0,1492100.0,0.0,0.0
BKI,Kota Kinabalu International Airport,Kota Kinabalu,southeast_asia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKK,Suvarnabhumi Airport,Bangkok,southeast_asia,Large,42784967.0,47910904.0,53002328.0,51363451.0,46423352.0,52918785.0,55892428.0,60860704.0
BKO,Senou International Airport,Bamako,west_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLJ,Batna Airport,Batna,north_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLL,Billund Airport,Billund,nordics,Small,0.0,0.0,0.0,0.0,0.0,2910735.0,0.0,0.0
BLQ,Bologna Airport,Bologna,italy,Medium,5503106.0,5885884.0,5958648.0,6193783.0,6580389.0,6889742.0,0.0,0.0
BLR,Kempegowda International Airport,Bangalore,south_asia,Large,0.0,0.0,0.0,0.0,0.0,0.0,22187841.0,25047272.0
BLZ,Chileka International Airport,Blantyre,southern_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMA,Stockholm-Bromma Airport,Stockholm,nordics,Small,0.0,0.0,0.0,0.0,0.0,2488779.0,0.0,0.0
